is_eligible_search,is_eligible_checkout,item_id,mpn,title,description,url,brand,condition,product_category,material,image_url,additional_image_urls,price,availability,listing_has_variations,variant_dict,seller_name,seller_url,return_policy,target_countries,store_country
false,false,VCARPETSGLITTERHOTELCORRIDORBROADLOOMCARPET,VCARPETSGLITTERHOTELCORRIDORBROADLOOMCARPET,Glitter Hotel Corridor Broadloom Carpet,"VCARPETS's Glitter Hotel Corridor Broadloom Carpet is a custom wall-to-wall hotel carpet designed for memorable hospitality interiors. The deep navy field, gold glitter effect, and flowing corridor pattern help hotels create a premium arrival path while supporting commercial project requirements such as high-traffic durability, dimensional stability, stain resistance options, and custom roll production.",https://www.vcarpets.com/products/wall-to-wall/glitter-hotel-corridor-broadloom-carpet,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Wall-to-Wall Commercial Carpet,Commercial Synthetic Fiber,https://www.vcarpets.com/images/products/hotel-glitter-broadloom/1.webp,"https://www.vcarpets.com/images/products/hotel-glitter-broadloom/1.webp,https://www.vcarpets.com/images/products/hotel-glitter-broadloom/2.webp,https://www.vcarpets.com/images/products/hotel-glitter-broadloom/3.webp,https://www.vcarpets.com/images/products/hotel-glitter-broadloom/4.webp,https://www.vcarpets.com/images/products/hotel-glitter-broadloom/5.webp,https://www.vcarpets.com/images/products/hotel-glitter-broadloom/6.webp,https://www.vcarpets.com/images/products/hotel-glitter-broadloom/7.webp,https://www.vcarpets.com/images/products/hotel-glitter-broadloom/8.webp,https://www.vcarpets.com/images/products/hotel-glitter-broadloom/9.webp,https://www.vcarpets.com/images/products/hotel-glitter-broadloom/10.webp",,unknown,false,"{""material"":""Commercial Synthetic Fiber"",""size"":""4m Width""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETSCUSTOMFLORALPRINTEDHOTELCARPET,VCARPETSCUSTOMFLORALPRINTEDHOTELCARPET,Custom Floral Printed Wall-to-Wall Hotel Carpet,"VCARPETS Custom Floral Printed Wall-to-Wall Hotel Carpet is a project-based patterned broadloom program with adjustable artwork, colorways, material options, and pile height for hospitality and commercial interiors.",https://www.vcarpets.com/products/wall-to-wall/custom-floral-printed-hotel-carpet,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Wall-to-Wall Commercial Carpet,"Polypropylene, Nylon, Polyester or Wool-Blend Options",https://www.vcarpets.com/images/products/wall-to-wall/custom-floral-printed-hotel-carpet/01-main-custom-floral-hotel-corridor.webp,"https://www.vcarpets.com/images/products/wall-to-wall/custom-floral-printed-hotel-carpet/02-banquet-hall-floral-carpet.webp,https://www.vcarpets.com/images/products/wall-to-wall/custom-floral-printed-hotel-carpet/03-hotel-guestroom-printed-carpet.webp,https://www.vcarpets.com/images/products/wall-to-wall/custom-floral-printed-hotel-carpet/04-office-lobby-custom-carpet.webp,https://www.vcarpets.com/images/products/wall-to-wall/custom-floral-printed-hotel-carpet/05-banquet-hall-project-view.webp,https://www.vcarpets.com/images/products/wall-to-wall/custom-floral-printed-hotel-carpet/06-hotel-corridor-project-view.webp",,unknown,true,"{""material"":""Polypropylene, Nylon, Polyester or Wool-Blend Options"",""size"":""Custom Broadloom Roll""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETSGOLDMININGCARPETMAT,VCARPETSGOLDMININGCARPETMAT,Sluice Box Matting & Gold Mining Carpet,"VCARPETS Sluice Box Matting and Gold Mining Carpet is a PVC/vinyl coil miners moss mat for placer recovery, prospecting, gold washing, dredges, trommels, concentrators, and separator systems. The ribbed surface helps retain fine particles while allowing water, sand, and mud to continue through the channel. Factory supply includes 1m x 15m rolls, 10mm, 15mm, and 20mm options, samples, custom dimensions, OEM packaging, and wholesale support for equipment manufacturers and distributors.",https://www.vcarpets.com/products/public-area/gold-mining-carpet-mat,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Specialty Commercial Carpet,PVC / Vinyl Miners Moss,https://www.vcarpets.com/images/products/gold-mining-carpet-mat/01-hero-45-degree.webp,"https://www.vcarpets.com/images/products/gold-mining-carpet-mat/01-hero-45-degree.webp,https://www.vcarpets.com/images/products/gold-mining-carpet-mat/02-full-texture-top-view.webp,https://www.vcarpets.com/images/products/gold-mining-carpet-mat/03-rolled-edge-thickness-backing.webp,https://www.vcarpets.com/images/products/gold-mining-carpet-mat/04-pvc-ribbed-miners-moss-texture.webp,https://www.vcarpets.com/images/products/gold-mining-carpet-mat/05-product-overview-detail.webp,https://www.vcarpets.com/images/products/gold-mining-carpet-mat/06-layer-structure-drainage-groove.webp,https://www.vcarpets.com/images/products/gold-mining-carpet-mat/07-oem-odm-custom-size-logo-package.webp,https://www.vcarpets.com/images/products/gold-mining-carpet-mat/08-pvc-ribbed-wear-resistant-anti-slip.webp,https://www.vcarpets.com/images/products/gold-mining-carpet-mat/09-wash-cleaning-sand-discharge.webp,https://www.vcarpets.com/images/products/gold-mining-carpet-mat/10-gold-washing-mining-site-application.webp",,unknown,true,"{""material"":""PVC / Vinyl Miners Moss"",""size"":""1m x 15m Roll; 10mm / 15mm / 20mm options"",""colors"":""Gold | Black | Green""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETSPUBLICAREAHEAVYDUTY,VCARPETSPUBLICAREAHEAVYDUTY,High-Traffic Public Area Corridor Carpet,Engineered for maximum durability in high-traffic public areas.,https://www.vcarpets.com/products/public-area/public-area-heavy-duty,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Specialty Commercial Carpet,Solution-Dyed Nylon,https://www.vcarpets.com/images/products/public-area/public-area-heavy-duty/01-main-public-area-heavy-duty-carpet.webp,,,unknown,false,"{""material"":""Solution-Dyed Nylon"",""size"":""4m Width""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETSNATURALSISALCARPET,VCARPETSNATURALSISALCARPET,Natural Sisal Linen-Weave Commercial Carpet,"VCARPETS's Natural Sisal Linen-Weave Commercial Carpet is a 100% plant-fiber flooring crafted from durable agave sisalana sisal, woven into a refined linen-look flatweave.",https://www.vcarpets.com/products/public-area/natural-sisal-carpet,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Specialty Commercial Carpet,100% Natural Sisal,https://www.vcarpets.com/images/natural-sisal-carpet-office.webp,,,unknown,true,"{""material"":""100% Natural Sisal"",""size"":""4m Width"",""colors"":""Wheat Beige | Warm Greige | Taupe Brown | Charcoal Grey""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETSCUSTOMSCULPTEDWOOLLOBBYRUG,VCARPETSCUSTOMSCULPTEDWOOLLOBBYRUG,Custom Sculpted Wool Lobby Rug,"VCARPETS Custom Sculpted Wool Lobby Rug is a made-to-order decorative area rug with a sand-beige concentric-square texture for hotel lobbies, executive lounges, reception areas, luxury clubs, villas and commercial showrooms. It is a loose-laid feature rug rather than wall-to-wall broadloom, and final material composition, construction, backing, fire-rating requirements and maintenance conditions must be confirmed before project approval.",https://www.vcarpets.com/products/public-area/custom-sculpted-wool-lobby-rug,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Specialty Commercial Carpet,Wool Material; Exact Fiber Composition Confirmed Before Order,https://www.vcarpets.com/images/products/public-area/custom-sculpted-wool-lobby-rug/04-commercial-showroom-custom-rug.webp,"https://www.vcarpets.com/images/products/public-area/custom-sculpted-wool-lobby-rug/04-commercial-showroom-custom-rug.webp,https://www.vcarpets.com/images/products/public-area/custom-sculpted-wool-lobby-rug/01-main-hotel-lobby-wool-rug.webp,https://www.vcarpets.com/images/products/public-area/custom-sculpted-wool-lobby-rug/02-executive-lounge-sculpted-rug.webp,https://www.vcarpets.com/images/products/public-area/custom-sculpted-wool-lobby-rug/03-reception-area-geometric-wool-rug.webp,https://www.vcarpets.com/images/products/public-area/custom-sculpted-wool-lobby-rug/05-private-club-lounge-wool-rug.webp",,unknown,true,"{""material"":""Wool Material; Exact Fiber Composition Confirmed Before Order"",""size"":""Custom Dimensions"",""colors"":""Sand Beige | Ivory Taupe | Warm Taupe""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETSHEALTHCAREHOSPITALCARPETTILES,VCARPETSHEALTHCAREHOSPITALCARPETTILES,Healthcare Hospital Carpet Tiles,"VCARPETS Healthcare Hospital Carpet Tiles are a modular commercial flooring option for non-clinical healthcare interiors where cleanability, low static performance, selective replacement, and acoustic comfort must be reviewed together. Final fiber, backing, fire performance, indoor-air-quality documents, cleaning protocol, and suitability for each room must be confirmed against the project specification before approval.",https://www.vcarpets.com/products/carpet-tiles/healthcare-hospital-carpet-tiles,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Commercial Carpet Tiles,Solution-Dyed Nylon Option,https://www.vcarpets.com/images/case-series/case-4/Case_4_Hospital_Ward.webp,,,unknown,true,"{""material"":""Solution-Dyed Nylon Option"",""size"":""50x50 cm"",""colors"":""Calm Blue Gray | Soft Sage | Warm Neutral""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETSEDUCATIONSCHOOLCARPETTILES,VCARPETSEDUCATIONSCHOOLCARPETTILES,Education School Carpet Tiles,"VCARPETS Education School Carpet Tiles are designed for education buyers comparing modular flooring for classrooms, libraries, student centers, faculty offices, and public circulation areas. The 50x50 cm format supports phased installation and selective replacement, while fiber, backing, fire-performance documents, indoor-air-quality requirements, chair-caster use, and cleaning schedules are confirmed for the quoted construction.",https://www.vcarpets.com/products/carpet-tiles/education-school-carpet-tiles,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Commercial Carpet Tiles,Nylon / Polypropylene Option,https://www.vcarpets.com/images/case-wework.webp,,,unknown,true,"{""material"":""Nylon / Polypropylene Option"",""size"":""50x50 cm"",""colors"":""Library Gray | Campus Blue | Learning Green""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETSCINEMATHEATERCARPET,VCARPETSCINEMATHEATERCARPET,Cinema and Theater Carpet,"VCARPETS Cinema and Theater Carpet is a project-based broadloom program for auditoriums, cinema aisles, theater lobbies, concession areas, and entertainment venues. Pattern scale, aisle visibility, acoustic construction, seam planning, cleaning access, fire-performance documents, underlay, and installation details must be matched to the venue and confirmed for the exact quoted construction.",https://www.vcarpets.com/products/wall-to-wall/cinema-theater-carpet,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Wall-to-Wall Commercial Carpet,Printed Nylon / Synthetic Blend Option,https://www.vcarpets.com/images/case-series/case-3/Case_3_Casino_Hall.webp,,,unknown,true,"{""material"":""Printed Nylon / Synthetic Blend Option"",""size"":""4m Broadloom Width"",""colors"":""Auditorium Navy | Burgundy | Gold Accent""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETSCOMMERCIALSTAIRCARPETRUNNER,VCARPETSCOMMERCIALSTAIRCARPETRUNNER,Commercial Stair Carpet Runner,"VCARPETS Commercial Stair Carpet Runner is a made-to-size program for stair treads, risers, landings, and adjoining circulation areas. Natural sisal, sisal-look synthetic, and project-selected contract constructions can be reviewed according to traffic, cleaning, edge binding, underlay, nosing, fire-performance, and slip-resistance requirements. Final installation details and code compliance remain the responsibility of the project designer and local installer.",https://www.vcarpets.com/products/public-area/commercial-stair-carpet-runner,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Specialty Commercial Carpet,Natural Sisal / Sisal-Look Synthetic Option,https://www.vcarpets.com/images/natural-sisal-carpet-roll.webp,,,unknown,true,"{""material"":""Natural Sisal / Sisal-Look Synthetic Option"",""size"":""Custom Width and Length"",""colors"":""Natural Wheat | Warm Taupe | Charcoal""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
